Date,Open,High,Low,Close,Volume
10/07/2024,171.08,172.41,168.21,170.97,38379930
10/04/2024,166.53,171.21,164.42,170.9,44640301
10/03/2024,159.71,166.79,159.4,162.85,29598789
10/02/2024,159.31,163.1,158.67,159.78,24630430
10/01/2024,164.48,165.4,158.08,159.75,31831859
09/30/2024,163.1,165.08,162.18,164.08,21920301
09/27/2024,167.48,168.73,163.74,164.35,27876039
09/26/2024,167.06,168.68,164.05,167.49,38044922
09/25/2024,158.5,162.95,158.18,162.02,35233262
09/24/2024,157.46,159.64,154.58,158.32,27531199
09/23/2024,156.45,157.19,154.97,156.75,21728539
09/20/2024,156,157.45,152.47,155.95,40248199
09/19/2024,153.81,159.25,152.77,156.74,44499980
09/18/2024,150.9,152.82,148.01,148.29,26320080
09/17/2024,153.55,154.05,149.23,150.82,29888990
09/16/2024,151.7,154.44,150.91,152.08,27677760
09/13/2024,152.32,153.03,150.7,152.31,25117240
09/12/2024,148.43,151.54,147.65,150.77,29286170
09/11/2024,145.33,150.16,140.71,149.86,50935391
09/10/2024,139.06,143.08,137.25,142.84,37217527
09/09/2024,136.1,138.45,134.86,138.15,27194510
09/06/2024,138.7,139.13,132.11,134.35,39993512
09/05/2024,138.2,141.71,137.83,139.44,25023020
09/04/2024,140.51,143.37,138.51,140.87,42130648
09/03/2024,146.41,146.49,136.1,136.94,42053400
08/30/2024,147.52,148.99,145.25,148.56,31169070
08/29/2024,146.59,149.49,144.47,145.49,31602109
08/28/2024,149.4,150.43,144.72,146.36,34075820
08/27/2024,150.13,151.7,148.44,150.5,35102648
08/26/2024,154.7,158.28,148.91,149.99,49893262
08/23/2024,153.6,156.4,151.83,154.98,43694641
08/22/2024,158.87,159.84,151.01,151.7,45737262
08/21/2024,156.12,158.65,155.07,157.81,42791246
08/20/2024,156.49,162.04,154.51,156.4,76851156
08/19/2024,148.43,155.37,147.72,155.28,60766848
08/16/2024,145.7,149.37,145.2,148.56,31123930
08/15/2024,143,147.96,141.81,147.36,43582391
08/14/2024,143,143.25,137.64,140.75,35506434
08/13/2024,138.12,141.19,137.52,141.13,42218020
08/12/2024,134.44,137.99,133.23,136.77,39724340
08/09/2024,134.69,135.5,132.44,134.27,40582992
08/08/2024,131.97,136.48,128.94,136.32,49037449
08/07/2024,133.75,136.24,128.37,128.67,54676488
08/06/2024,135.15,136.44,129.1,130.18,64455609
08/05/2024,122.16,139.14,121.83,134.82,76089359
08/02/2024,133.5,137.1,131.33,132.5,78562000
08/01/2024,145,147.29,130.24,132.54,94731930
07/31/2024,150.73,153.6,140.03,144.48,114306797
07/30/2024,139.88,141.7,134.05,138.44,68801711
07/29/2024,141.19,144.59,138.75,139.75,47447191
07/26/2024,140.32,141.29,138.27,139.99,49435832
07/25/2024,144.07,144.75,136.81,138.32,60578527
07/24/2024,152.72,153.68,144.53,144.63,49203121
07/23/2024,154.95,157.05,153.8,154,31950580
07/22/2024,154.23,156.7,152.55,155.87,43912461
07/19/2024,154.86,155.81,150.62,151.58,47513059
07/18/2024,163.41,163.41,153.2,155.77,69420336
07/17/2024,169.8,169.8,159.37,159.43,76954203
07/16/2024,179.69,179.75,174.53,177.55,40633059
07/15/2024,184.45,185.5,178.54,179.83,42202727
07/12/2024,182.02,186.99,179.69,181.61,50827367
07/11/2024,184.07,187.11,177.25,181.94,59231406
07/10/2024,179.99,187.28,177.8,183.96,90246969
07/09/2024,177.97,180.41,174.7,177.1,43471168
07/08/2024,174.9,178.95,173.22,178.69,60223422
07/05/2024,165.97,174.04,165.68,171.9,61857047
07/03/2024,164.2,165.26,162.51,163.9,26980910
07/02/2024,157.04,164.58,156.7,164.31,57838609
07/01/2024,161.25,161.51,153.64,157.69,50436688
06/28/2024,160.23,166.45,159.41,162.21,56204621
06/27/2024,157.18,160.61,156.81,159.47,34018219
06/26/2024,160.6,160.74,156,157.54,36973441
06/25/2024,160.73,161,156.45,160.25,40975281
06/24/2024,159.75,163.4,158.19,160.25,45954047
06/21/2024,161.75,163.2,157.89,161.23,61334699
06/20/2024,155.83,166.82,155.5,161.78,93245727
06/18/2024,156.99,157.24,153.34,154.63,51852031
06/17/2024,158,159.23,154.14,158.4,44507738
06/14/2024,158.5,161.34,157.61,159.63,34054020
06/13/2024,160.4,162.66,157.31,159.9,44442512
06/12/2024,160.32,162.24,158.62,160.24,48325809
06/11/2024,160.5,161.54,156.92,158.96,40497090
06/10/2024,162.48,165.55,159.61,160.34,67575633
06/07/2024,166.59,169.45,165.86,167.87,44796000
06/06/2024,165.46,169.51,163.86,166.78,47153680
06/05/2024,162.07,167.12,161.38,166.17,60507488
06/04/2024,162.84,164.83,158.87,159.99,48157207
06/03/2024,170.82,171.08,160.91,163.55,59157594
05/31/2024,166.65,169.5,160.07,166.9,64331953
05/30/2024,167.9,168.75,163.8,166.75,46479930
05/29/2024,167.46,168.48,162.91,165.14,56537500
05/28/2024,169.42,174.55,164.96,171.61,66495406
05/24/2024,161.41,167.66,160.25,166.36,54868648
05/23/2024,170.18,173.14,158.27,160.43,91888844
05/22/2024,167.41,169.81,163.86,165.52,47426719
05/21/2024,164,165.83,163.1,164.66,30005480
05/20/2024,165.55,168.49,164.47,166.33,45618039
05/17/2024,168.43,169.72,162.32,164.47,65944359
05/16/2024,160.92,168.06,159.9,162.62,76726727
05/15/2024,155.59,159.69,154.7,159.67,43195898
05/14/2024,150.43,153.49,148.78,153.16,31938279
05/13/2024,151.28,153.33,150.4,150.56,27859180
05/10/2024,154.29,156.37,151.31,151.92,37652770
05/09/2024,153.13,154.09,150.61,152.39,33017961
05/08/2024,153.4,155.33,152.52,153.62,28727961
05/07/2024,156.32,157.7,153.66,154.43,37374910
05/06/2024,153.1,156.65,151.26,155.78,44624551
05/03/2024,148.75,150.79,147.24,150.6,49361078
05/02/2024,145.51,147.62,141.16,146.16,50034727
05/01/2024,148.11,151.37,142.14,144.27,89413172
04/30/2024,160.63,162.29,158.35,158.38,60742832
04/29/2024,159.08,160.77,156.26,160.2,43478219
04/26/2024,154.24,158.63,153.43,157.4,42510711
04/25/2024,149.15,155.14,146.75,153.76,41471422
04/24/2024,156.56,157.66,150.63,151.74,43412551
04/23/2024,151.65,153.5,150.35,152.27,46051910
04/22/2024,148.15,149.89,145.63,148.64,49397031
04/19/2024,151.59,154.25,145.29,146.64,71618203
04/18/2024,155.51,156.96,152.32,155.08,52669820
04/17/2024,163.97,164.45,153.88,154.02,75908969
04/16/2024,162.28,164.88,161.67,163.46,55302102
04/15/2024,164.43,164.44,158.76,160.32,61461152
04/12/2024,164.53,165.7,161.83,163.28,63519641
04/11/2024,167.55,170.95,166.55,170.5,48994527
04/10/2024,166.71,169.78,164,167.14,59599961
04/09/2024,170.21,171.6,167.29,170.78,42927992
04/08/2024,168.2,171.66,166.82,169.9,43997551
04/05/2024,168.1,172.69,165.58,170.42,66080258
04/04/2024,182.92,183.02,165.65,165.83,88279961
04/03/2024,177.54,182.05,176.7,180.77,49835059
04/02/2024,179.47,180.1,174.83,178.7,61598820
04/01/2024,180.1,187.24,179.9,183.34,74299914
03/28/2024,179.47,183.4,178.3,180.49,57628609
03/27/2024,179.96,181.23,175.4,179.59,55685648
03/26/2024,179.54,182.6,176.33,177.87,65322449
03/25/2024,172.9,182.8,172,178.63,71935312
03/22/2024,177.21,180.76,175.05,179.65,57899070
03/21/2024,185.97,187.69,177.66,178.68,75265602
03/20/2024,182.03,182.68,174,179.73,81773109
03/19/2024,183.16,185.61,177.36,181.42,83509453
03/18/2024,193.29,193.5,188.05,190.65,59306871
03/15/2024,184.83,193.8,184.48,191.06,95289516
03/14/2024,192.92,196.93,184.03,187.06,84490531
03/13/2024,198.73,198.83,192.7,194.79,70526883
03/12/2024,200.52,202.85,194.27,202.76,68951664
03/11/2024,203.01,203.55,196.7,198.39,73098625
03/08/2024,213.41,227.3,205.6,207.39,120815203
03/07/2024,212.52,213.83,208.22,211.38,63869039
03/06/2024,210.43,214.81,207.32,210.63,86686992
03/05/2024,200.5,205.33,199.15,205.13,65407113
03/04/2024,205.16,211.01,203.5,205.36,86835344
03/01/2024,197.91,202.72,195.42,202.64,103820797
02/29/2024,179.82,193,179.82,192.53,105538492
02/28/2024,176.25,176.84,173.59,176.54,35914406
02/27/2024,175.92,178.46,172.49,178,43665238
02/26/2024,178.78,179.84,174.81,176.01,45435090
02/23/2024,181.86,183.8,174.55,176.52,69207367
02/22/2024,173.2,183.83,172,181.86,100684703
02/21/2024,162.74,164.9,161.81,164.29,48774559
02/20/2024,171.14,171.81,162,165.69,66549992
02/16/2024,177.45,180.33,173.25,173.87,53940340
02/15/2024,179.14,180.5,175.26,176.76,51126441
02/14/2024,173.47,178.74,172.88,178.7,57402520
02/13/2024,167.94,173.17,164.3,171.54,63071312
02/12/2024,172.68,177.41,170.67,171.91,58177047
02/09/2024,171,175.1,168.66,172.48,56375711
02/08/2024,170.33,172.17,168.6,169.35,43385281
02/07/2024,169.47,172.97,168.2,170.94,53665422
02/06/2024,173.15,173.88,165.5,167.88,68854125
02/05/2024,179.09,180.01,171.11,174.23,76349242
02/02/2024,173.79,179,173.05,177.66,82134273
02/01/2024,169.27,171.14,165.86,170.48,91576688
01/31/2024,165.74,171.3,162.56,167.69,133157297
01/30/2024,176.13,178.48,169.52,172.06,122265695
01/29/2024,178.77,178.89,174.4,177.83,89384445
01/26/2024,175.29,181.23,174.15,177.25,107381203
01/25/2024,183.41,184.92,177.63,180.33,127171398
01/24/2024,172.55,180.58,170.56,178.29,125516398
01/23/2024,166.5,169.63,164.27,168.42,76830461
01/22/2024,174.39,174.72,164.15,168.18,122973797
01/19/2024,165.8,174.25,162.2,174.23,140367906
01/18/2024,166.2,168.6,158.22,162.67,131864891
01/17/2024,158.45,160.64,154.4,160.17,104085000
01/16/2024,150.36,159.72,149.98,158.74,112711398
01/12/2024,148.04,148.75,145,146.56,48293090
01/11/2024,148.52,150.38,143.69,148.02,62764602
01/10/2024,150.07,150.88,146.65,148.54,56951238
01/09/2024,145.95,149.86,145.08,149.26,67875672
01/08/2024,140.36,147.15,140.15,146.18,71756914
01/05/2024,136.78,141.01,136.44,138.58,69657680
01/04/2024,134.3,137.7,134,136.01,58610289
01/03/2024,135.71,137.43,133.74,135.32,61988578
01/02/2024,144.28,144.4,137.43,138.58,64902031
12/29/2023,149.5,151.05,147.2,147.41,62079191
12/28/2023,146.8,150.41,145.95,148.76,63800680
12/27/2023,144.72,146.25,143.18,146.07,49033422
12/26/2023,140.07,143.85,139.92,143.41,47157434
12/22/2023,140.48,140.7,138.31,139.6,35396578
12/21/2023,138.14,139.98,137.38,139.91,47179359
12/20/2023,139,139.58,135.37,135.47,54671719
12/19/2023,138.57,143.47,138.56,140.15,63739781
12/18/2023,139.15,139.79,137.65,138.9,45199449
12/15/2023,139.52,140.89,137.25,139.15,70211797
12/14/2023,138.89,141.82,135.73,138,76115172
12/13/2023,137.97,139.24,136.03,138.19,70651602
12/12/2023,132.25,139.89,131.9,137.61,111677797
12/11/2023,130.56,135.04,128.25,134.41,98668281
12/08/2023,129.54,131,126.89,128.92,89341008
12/07/2023,120.79,128.68,119.56,128.37,118579102
12/06/2023,120.69,122.83,116.38,116.82,60599031
12/05/2023,117.43,118.49,116.45,118.38,39191566
12/04/2023,119.75,119.9,116.37,118.57,39854422
12/01/2023,119.88,121.4,118.65,121.39,37048000
11/30/2023,123.61,124.05,119.65,121.16,44494207
